id,body,actor,reply,time,class
343,yummmy! fish in the oven is such a easy dinner. 🐟,Jcole9,2,-0:32:00,
544,LOVE IT!!!!,_aikira_,2,-0:27:00,
60,"Love pizza, zucchini not so much. Still might have to give it a shot sometime though",SamTHEMAN,7,33:22:00,
199,did someone say low carb?👀,TimBJenkins,7,35:57:00,
39,pretty!,jackrussellmom,11,2:45,
11,this is such a lovely photo!,lee.alexa,13,5:20,
214,so artsy!,HP743,13,13:21,
87,they're opening a Copatellis location in Cleveland next year...so pumped!,cavsforever,14,10:22,
61,so good....bread is one of biggest weaknesses. Carbs are the enemy though...,SamTHEMAN,15,50:30:00,
200,"I wonder how long it would take to make all these, but i'd love to try it this weekend...",TimBJenkins,16,21:14,
328,i just gained 3 pounds by looking at this,KatieeeM,16,19:40,
329,gimme a freaking donut~!! 😍,TimBJenkins,16,19:58,
215,eewww swordfish? dont think id be able to do that,HP743,17,43:12:00,
146,Dude!!! My mom loves that too... We should have them meet sometime lol,SnakeCharmer,18,38:02:00,
350,yummmmmmmmmmm.,MedicalRyan,18,36:30:00,
103,"i need one of these, like now",casssssssssie,22,-9:12:00,
251,Where is this?,earthpulse,22,-21:20:00,
259,I need a detox after many weekends!🤣 This looks awesome!,kittycatbakes,24,1:25,
216,my dad cooks the best brats...they look just like those ones,HP743,26,44:11:00,
252,That's what I like to see.,earthpulse,27,33:12:00,
257,omg. Seriously. Mind blowing.,breethebaker,27,39:10:00,
147,omg THIS LOOKS LIT,SnakeCharmer,28,38:56:00,
262,Beautiful!,kittycatbakes,28,40:39:00,
148,There's a nice thai food near my home! we should go there together,SnakeCharmer,29,59:17:00,
202,I'm sure she would!!,masterchefterry,33,12:02,
326,that is not a cheeseburger. give me Five Guys anyday.,mariaann,34,19:07,
149,ew your mention of hair makes it look less nice lolll jk!,SnakeCharmer,35,42:01:00,
150,looks nice for first try!,SnakeCharmer,41,-0:04:00,
229,"Chicken Parm, dinner of champions!",TomM41,41,-0:05:00,
263,So pretty!,kittycatbakes,41,-0:05:00,
264,Ohhhh this looks perfect!! Smooooooth,localewis,45,5:05,
196,😍😍😍😍,KatieeeM,48,56:17:00,
65,Adorable Cass! How do you find these places?,hockeymom101,50,70:15:00,
34,"I had donuts with lunch again today, in case anyone was wondering.. #onaroll #winning",tastyrobot,58,37:50:00,
78,Man this DOES NOT look like donuts but now I want some lol,thisisalfie1998,58,15:49,
104,Only if they're Boston Cream!,TimBJenkins,58,15:10,
234,Donuts always were your kryptonite!,B.Mike,58,44:21:00,
265,Oh my and yum..👍,localewis,58,14:08,
348,that looks a little scary,TomM41,59,36:12:00,
349,is tha Piglet? Like from Winnie the poo?,BeardedMatt,59,36:20:00,
174,#refreshing!,MedicalRyan,62,22:33,
